Text         Label
---------  -------
## .#;           1
749816           1
597865           1
434497           1
06               1
17796            1
7607             1
792900           1
669451           1
5783276          1
+ 2994595        1
.,83             1
1323374          1
2939213          1
793484           1
2668046          1
40944            1
191464           1
175783           1
451177           1
65106            1
38               1
48883            1
2730535          1
25566            1
28               1
47110            1
682585           1
1494076          1
675374           1
17318            1
###              1
99783            1
8591             1
93796            1
87               1
2858027          1
4016454          1
1997             1
881407           1
9453040          1
587446           1
313441           1
547809           1
527933           1
81896            1
4646168          1
437589           1
347235           1
6824782          1
3008362          1
9795576          1
83318            1
962629           1
644103           1
