  Text    Label
------  -------
    41        1
    69        1
     1        1
    33        1
     3        1
     3        1
     4        1
    84        1
     4        1
    97        1
     7        1
     8        1
    14        1
    87        1
     9        1
    39        1
    12        1
     5        1
    51        1
    13        1
     8        1
    63        1
    28        1
    15        1
    72        1
     2        1
    93        1
    19        1
    61        1
    22        1
    36        1
    21        1
    98        1
    23        1
    24        1
    43        1
    49        1
    25        1
    73        1
    70        1
    29        1
    38        1
    30        1
